127.0.0.1 - - [19/Dec/2018:08:50:06 -0500] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [19/Dec/2018:08:50:14 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:08:51:37 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:08:53:14 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:08:55:18 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:08:58:47 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:00:05 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:01:48 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:04:30 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:06:33 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:08:41 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:15:12 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:15:44 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:16:18 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:16:43 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:23:43 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:24:59 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:26:15 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:31:24 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:32:55 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:41:44 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:45:51 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:49:06 -0500] "GET /Server3/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:09:52:16 -0500] "GET /Server3/ HTTP/1.1" 200 3736
